 INVESTIGAÇÃO DENGUE A PARTIR DE 2014
Frequência por Mun infec SC e Sem.Epid.Sintomas
Classificacao Nova: Dengue com complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue, Dengue, Dengue com sinais de alarme, Dengre grave
Conf.Desc pos2010: Laboratórial, Clínico-epidemiológico
Período:2023
"Mun infec SC";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"421690 São Lourenço do Oeste";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"421700 São Ludgero";0;0;0;0;0;0;0;0;0;1;1;0;5;2;1;2;5;6;8;6;4;4;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49
"421720 São Miguel do Oeste";0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
"421725 São Pedro de Alcântara";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"421730 Saudades";0;0;0;0;0;1;0;0;6;15;11;16;33;27;43;69;64;43;60;28;12;12;11;8;2;2;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;467
"421750 Seara";0;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;13
"421770 Sombrio";0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7;10;7;3;5;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41
"421795 Tigrinhos";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421800 Tijucas";0;0;0;0;0;0;0;0;0;0;1;4;5;4;8;10;19;31;21;16;28;18;36;37;29;14;14;8;5;3;5;5;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;5;4;3;1;338
"421820 Timbó";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
"421870 Tubarão";0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7
"421875 Tunápolis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"421885 União do Oeste";0;0;0;0;0;0;0;0;0;0;5;14;22;25;28;19;9;14;8;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150
"421950 Xanxerê";0;0;0;0;0;0;0;0;1;2;0;0;2;1;1;4;2;5;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;24
"421960 Xavantina";0;0;0;0;0;0;0;0;0;2;0;0;2;3;0;5;5;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22
"421970 Xaxim";0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;2;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11
"Total";28;34;58;121;282;410;467;601;1210;1805;2941;4589;6832;8702;9182;9531;9183;10371;10162;8067;5227;4613;3807;3460;1925;1491;1259;867;598;370;294;195;166;132;98;83;82;105;79;71;64;62;69;52;80;77;71;83;71;93;77;97;110394
