 INVESTIGAÇÃO DENGUE A PARTIR DE 2014
Frequência por Mun infec SC e Sem.Epid.Sintomas
Classificacao Nova: Dengue com complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue, Dengue, Dengue com sinais de alarme, Dengre grave
Conf.Desc pos2010: Laboratórial, Clínico-epidemiológico
Período:2022
"Mun infec SC";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"420200 Balneário Camboriú";0;0;0;1;0;0;1;0;4;0;2;6;8;8;12;13;17;16;9;8;4;1;4;3;0;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;122
"421280 Balneário Piçarras";0;0;0;0;1;0;0;0;0;0;0;0;1;1;4;6;11;9;17;7;8;3;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74
"420208 Bandeirante";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"420209 Barra Bonita";0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;6;9;6;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31
"420210 Barra Velha";0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;2;1;7;9;7;4;5;2;2;2;1;1;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;3;0;2;3;1;0;0;60
"420215 Belmonte";0;0;0;0;6;29;37;77;57;57;36;45;42;18;22;14;11;8;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;465
"420230 Biguaçu";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;3;2;5;4;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;23
"420240 Blumenau";0;3;1;0;2;5;12;11;64;121;168;363;570;589;949;1227;970;1195;1050;934;549;397;270;205;169;105;110;81;46;28;36;25;31;24;20;28;26;28;24;9;10;1;2;4;1;1;0;0;0;0;1;0;10465
"420253 Bom Jesus";0;0;0;0;0;0;0;0;0;0;0;3;1;2;0;6;6;9;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31
"420257 Bom Jesus do Oeste";0;0;0;0;0;0;0;0;0;0;0;2;1;3;1;4;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
"420245 Bombinhas";0;0;0;0;0;2;0;0;2;3;5;10;29;29;40;41;58;77;55;68;37;19;10;8;8;7;2;1;0;2;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;517
"420270 Botuverá";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"420280 Braço do Norte";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"420290 Brusque";1;0;0;3;2;4;5;10;49;71;182;297;413;543;604;543;515;411;447;318;241;146;87;43;35;25;19;5;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;5025
"420310 Caibi";0;0;0;0;0;0;0;1;7;1;46;88;89;61;33;43;6;2;1;3;2;2;2;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;393
"420320 Camboriú";0;0;0;0;0;0;0;0;0;1;2;2;1;1;7;6;6;6;4;3;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;46
"420350 Campo Erê";0;0;0;0;0;0;1;0;2;4;5;5;5;1;5;0;4;6;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41
"420370 Canelinha";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"420400 Catanduvas";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"420410 Caxambu do Sul";0;0;0;0;0;0;0;0;1;11;12;8;24;51;51;56;54;78;42;24;4;3;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;423
"420420 Chapecó";0;1;1;2;3;7;31;47;228;415;401;660;824;836;709;766;672;701;395;167;69;43;23;8;8;6;4;1;1;1;2;2;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;4;7043
"420425 Cocal do Sul";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"420430 Concórdia";1;0;3;2;4;2;11;28;93;310;306;455;584;572;495;488;411;472;276;159;78;54;40;19;8;10;5;8;0;0;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0;1;3;1;0;0;1;4905
"420435 Cordilheira Alta";0;0;0;0;0;0;0;0;0;1;0;6;5;5;4;11;11;9;6;1;4;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66
"420440 Coronel Freitas";0;0;1;0;1;2;13;3;26;68;86;150;197;179;262;226;192;188;118;88;26;21;8;2;2;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1864
"420460 Criciúma";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"420470 Cunha Porã";0;0;0;0;0;0;0;0;1;1;1;9;22;10;10;19;29;31;6;8;1;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;155
"420475 Cunhataí";0;0;0;0;0;0;0;0;0;0;0;2;2;3;8;10;3;12;7;9;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64
"420490 Descanso";0;0;0;0;0;0;0;0;0;6;4;9;6;3;4;11;9;2;4;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62
"420500 Dionísio Cerqueira";0;0;0;0;0;0;0;0;0;1;0;2;2;5;3;2;2;2;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22
"420517 Entre Rios";0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;4;2;2;3;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25
"420530 Faxinal dos Guedes";0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
"420535 Flor do Sertão";0;0;0;0;0;0;1;0;1;10;3;7;22;25;24;20;20;22;11;6;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177
"420540 Florianópolis";0;2;4;1;1;11;5;11;31;61;124;121;183;316;399;438;420;468;400;355;263;168;128;96;65;51;32;18;7;5;2;4;1;4;1;3;3;0;2;0;1;2;0;2;1;1;0;3;2;1;3;3;4223
"420543 Formosa do Sul";0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;2;0;2;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
"420560 Galvão";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"420580 Garuva";0;0;0;0;2;1;0;0;0;0;1;1;9;28;40;59;56;65;36;44;56;22;15;8;13;6;5;5;1;4;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;481
"420590 Gaspar";0;0;0;1;0;0;0;0;0;0;0;3;3;10;10;14;13;15;14;12;5;8;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;113
"420600 Governador Celso Ramos";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"420630 Guabiruba";0;0;0;0;0;0;0;0;1;1;7;10;13;15;6;10;3;1;3;6;0;1;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83
"420640 Guaraciaba";0;0;0;1;0;1;2;14;66;127;143;235;172;94;77;95;47;29;11;4;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1123
"420660 Guarujá do Sul";0;0;0;0;0;0;0;0;0;0;2;0;0;4;6;7;1;6;0;2;0;3;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35
"420665 Guatambú";0;0;0;0;0;0;0;0;0;0;0;4;3;7;6;5;8;11;3;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52
"420680 Ibicaré";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"420700 Içara";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5
"420710 Ilhota";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"420730 Imbituba";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"420750 Indaial";0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;5;1;0;6;3;1;0;0;3;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29
"420760 Ipira";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"420765 Iporã do Oeste";0;1;0;2;1;5;20;30;82;204;140;172;181;138;103;67;27;2;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1182
"420768 Ipuaçu";0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;1;0;3;1;0;2;0;3;2;1;0;2;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32
"420770 Ipumirim";0;0;0;0;0;1;0;0;2;4;2;4;8;6;4;8;9;13;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72
"420775 Iraceminha";0;0;0;0;0;0;0;0;3;8;11;18;22;14;9;17;4;8;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;122
"420780 Irani";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"420785 Irati";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"420800 Itá";0;1;0;4;10;23;36;52;132;184;130;116;90;60;46;40;17;18;3;2;0;0;0;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;970
"420820 Itajaí";0;2;0;0;0;0;0;0;0;1;2;3;2;15;18;22;13;36;41;31;26;21;3;6;5;7;2;2;4;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;267
"420830 Itapema";0;0;0;0;0;0;0;0;0;0;1;1;2;12;10;13;24;10;7;8;5;2;3;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;107
"420840 Itapiranga";0;0;0;0;0;0;0;0;0;1;3;5;9;5;9;8;9;9;10;4;2;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77
"420845 Itapoá";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
"420890 Jaraguá do Sul";0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;2;3;4;2;3;3;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;27
"420895 Jardinópolis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"420900 Joaçaba";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
"420910 Joinville";0;3;3;2;4;12;17;32;91;143;371;621;800;1110;1704;2013;1965;2575;2381;2178;1708;1240;614;449;464;300;158;116;88;72;54;27;20;15;20;10;14;7;3;3;8;5;2;1;0;0;0;1;1;0;2;0;21427
"420945 Lajeado Grande";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"420950 Laurentino";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"420985 Lindóia do Sul";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"421020 Major Gercino";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421050 Maravilha";0;1;0;7;9;5;28;45;151;328;337;580;666;552;403;395;254;305;150;69;14;4;1;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4309
"421055 Marema";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
"421060 Massaranduba";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"421090 Modelo";0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
"421100 Mondaí";0;0;0;0;0;4;5;5;31;44;92;182;216;206;251;286;170;137;68;38;15;10;4;0;1;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1769
"421120 Morro da Fumaça";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421130 Navegantes";0;0;0;0;0;0;0;0;0;1;3;5;7;9;18;28;17;17;21;20;12;12;7;5;10;3;5;2;1;5;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;213
"421140 Nova Erechim";0;0;0;0;0;0;0;0;0;0;0;0;3;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
"421145 Nova Itaberaba";0;0;0;0;0;0;0;0;0;0;0;3;21;15;9;9;18;16;4;9;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107
"421150 Nova Trento";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
"421160 Nova Veneza";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421185 Ouro Verde";0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
"421187 Paial";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"421190 Palhoça";0;0;0;0;0;1;0;0;0;1;4;1;1;4;4;6;18;13;10;11;9;3;0;3;2;5;2;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;104
"421200 Palma Sola";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
"421210 Palmitos";0;0;0;3;0;3;5;6;45;137;115;282;288;264;250;186;134;153;60;54;18;17;7;13;8;1;1;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2054
"421223 Paraíso";0;0;0;0;0;0;0;0;0;0;0;2;2;5;2;4;2;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
"421250 Penha";0;0;0;0;0;0;0;0;0;0;0;1;5;1;9;10;22;21;23;34;7;9;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;146
"421260 Peritiba";0;0;0;0;0;0;0;0;0;1;4;8;11;14;12;20;6;8;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90
"421290 Pinhalzinho";0;0;0;0;0;0;0;0;2;4;4;17;13;6;12;11;5;11;4;3;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95
"421310 Piratuba";0;0;0;0;0;0;0;0;0;0;0;3;3;5;5;2;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
"421315 Planalto Alegre";0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;3;2;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
"421320 Pomerode";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
"421340 Ponte Serrada";0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
"421350 Porto Belo";0;0;0;0;0;0;0;1;3;1;3;6;29;31;33;33;64;56;44;43;19;15;6;7;7;3;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;407
"421370 Pouso Redondo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421415 Princesa";0;0;0;0;0;0;0;0;1;0;0;2;1;2;1;7;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
"421420 Quilombo";0;0;0;0;1;0;0;0;0;0;1;3;1;6;8;8;10;11;7;13;3;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75
"421430 Rancho Queimado";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"421480 Rio do Sul";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421507 Riqueza";0;0;0;0;0;0;0;0;0;2;1;5;5;12;11;22;7;14;6;10;2;2;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102
